title,link,summary,published_date,source,relevance_score,learned_preference_score,personalized_score,topic_tags,user_rating,read_status,notes
Centerbridge in talks to buy stake in $3bn real estate firm,https://www.ft.com/content/18999017-babb-4127-a2d4-eac7335946e4,Potential investment in Merritt Properties comes amid a busy stretch for acquisitions in commercial property,2026-05-24 12:00:07.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Iran war could add billions of dollars in interest payments to US debt,https://www.ft.com/content/d66b0e94-2f80-4d9a-a1a0-2bf5ce837a66,Government borrowing costs have reached their highest levels since 2007 after three months of the conflict,2026-05-24 11:00:07.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Why IPO mania could signal top of the market,https://www.ft.com/content/7e153dc1-7e13-44d0-9c49-8071a4c29261,A potential deluge of AI-related equity supply removes a source of upthrust for prices,2026-05-24 11:00:07.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
US oil producers increase output to capture price surge from Iran war,https://www.ft.com/content/d0fc0074-86f1-46ec-bf80-9bbb6abb2c24,Drilling expansion follows 40 per cent jump in cost from global supply crunch that has dented president’s approval ratings,2026-05-23 11:00:07.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
"SpaceX, OpenAI and Anthropic IPOs set to test limits of AI boom",https://www.ft.com/content/ae9bb47d-bd1d-473c-b4c5-abae0420cc12,"Elon Musk, Sam Altman and Dario Amodei battle over who can command Wall Street’s deepest pools of capital",2026-05-23 08:00:06.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Bond slump stirs vigilante fears,https://www.ft.com/content/e16e6cdf-e824-4bc1-a199-e42746e602bb,A sense is setting in among investment professionals that we have a serious problem here,2026-05-23 04:00:46.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Get ready to take sides in Big Tech’s giant IPO bake-off,https://www.ft.com/content/f11e025d-bc28-49ac-a8ca-a881275f4f2b,"With SpaceX, OpenAI and Anthropic targeting the same market, investors must decide what qualities they prize most",2026-05-23 04:00:40.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Superdrug owner shrugs off volatility to press ahead with $30bn dual listing,https://www.ft.com/content/52677cd0-7edb-4c77-8a8b-7ea252e9eeba,AS Watson plans to publicly trade shares in both Hong Kong and London before the end of 2026,2026-05-23 04:00:40.000000,Financial Times Markets,4.0,4.0,4.0,volatility,,unread,
The risks to the legacy of Barney Frank,https://www.ft.com/content/0a69e869-11ba-429d-94be-2801ec5133d4,A key feature of the annual stress test for US banks is being undermined,2026-05-22 17:00:10.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
BrewDog co-founder to attempt comeback with ‘Second Best’ beer brand,https://www.ft.com/content/cc479c63-1734-4411-b68f-680b6f3c31ab,James Watt to give shares to ‘equity punks’ who lost out in controversial entrepreneur’s previous venture,2026-05-22 16:42:55.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
The boutique bank that eschews blockbuster bragging rights,https://www.ft.com/content/d8f5a076-a87c-4427-a043-24387e1170a2,Lincoln International may not be a household name but it occupies a niche in the market,2026-05-22 16:27:17.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
"To infinity and beyond, with the SpaceX IPO",https://www.ft.com/content/0e5ab16c-957e-44d6-aa16-fe23412ef6df,Ordinary investors can at last bet directly on AI’s potential — with caveats,2026-05-22 16:08:20.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Gilt relief rally sends yields to biggest weekly drop since 2023,https://www.ft.com/content/7131f9e0-46b5-4a31-90f2-277ee2337f09,Burnham pledge to stick to fiscal rules and pullback from bets on higher BoE interest rates drive rebound,2026-05-22 16:07:03.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
China cracks down on illegal cross-border securities trading,https://www.ft.com/content/c6b15d3a-a4b6-42c4-8804-84d5efe4b81f,Regulator penalises brokerages in effort to close loophole that allowed retail traders to get around capital controls,2026-05-22 12:39:08.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
A gargantuan energy deal for the AI age,https://www.ft.com/content/d70509da-493c-4648-921f-8a8a9a98395c,The combination of NextEra and Dominion is a pragmatic response to growing energy needs,2026-05-22 11:01:01.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
"If you think you understand bonds, you don’t",https://www.ft.com/content/e7258e06-7be0-4578-80d1-994f27ba3c2b,They’re too complex for me too — but here are five common traps to avoid,2026-05-22 11:00:04.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
CVC consortium launches €10.9bn offer for Italian drugmaker Recordati,https://www.ft.com/content/b16a0afe-d017-465e-94a3-c20e449d82b1,Deal would tighten buyout group’s control of 100-year-old company and extend its bet on rare diseases,2026-05-22 10:37:00.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Shipping exchange argues Strait of Hormuz is not closed in lawsuit defence,https://www.ft.com/content/d2cb463e-fa6e-47c1-9d78-77fd0e72b228,Mercuria has launched ‘explosive’ lawsuit against Baltic Exchange over rates set for tanker routes disrupted by Iran war,2026-05-22 06:15:42.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
Carson Block: ‘Maybe the dumb money is the smart money’,https://www.ft.com/content/58919bd7-37f6-40fd-a63a-efde27d253ed,The short seller warns of an AI-created financial crisis,2026-05-22 05:30:11.000000,Financial Times Markets,0.0,0.0,0.0,,,unread,
